
Standard & Poors 500 Index,Last: 4164,Change:  52.92
"Date: February 7, 2023 at 5:34 PM EST",Bid: 4099.96,Ask: 4203.0601,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Feb 07 2023,SPXW230207C01000000,0,0,3156.3,3180.3,0,0,0,0,0,1000.00,SPXW230207P01000000,0,0,0,0.05,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C01200000,0,0,2956.3,2980.3,0,0,0,0,0,1200.00,SPXW230207P01200000,0,0,0,0.05,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C01400000,0,0,2756.3,2780.3,0,0,0,0,0,1400.00,SPXW230207P01400000,0,0,0,0.05,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C01600000,0,0,2556.3,2580.3,0,0,0,0,0,1600.00,SPXW230207P01600000,0,0,0,0.05,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C01800000,2147.24,0,2356.3,2380.2,0,0,0,0,1,1800.00,SPXW230207P01800000,0,0,0,0.05,0,0,0,0,0
Tue Feb 07 2023,SPXW230207C02000000,2054.67,0,2156.3,2180.2,0,0,0,0,1,2000.00,SPXW230207P02000000,0.05,0,0,0.05,0,0,0,0,100
Tue Feb 07 2023,SPXW230207C02200000,0,0,1956.3,1980.3,0,0,0,0,0,2200.00,SPXW230207P02200000,0.05,0,0,0.05,0,0,0,0,692
Tue Feb 07 2023,SPXW230207C02400000,0,0,1756.3,1780.3,0,0,0,0,0,2400.00,SPXW230207P02400000,0.05,0,0,0.05,0,0,0,0,18
Tue Feb 07 2023,SPXW230207C02600000,0,0,1556.3,1580.3,0,0,0,0,0,2600.00,SPXW230207P02600000,0.05,0,0,0.05,0,0,0,0,117
Tue Feb 07 2023,SPXW230207C02800000,1324.8,13.9,1356.3,1380.3,1,0,0,0,7,2800.00,SPXW230207P02800000,0.05,0,0,0.05,0,0,0,0,35
Tue Feb 07 2023,SPXW230207C02900000,0,0,1256.3,1280.3,0,0,0,0,0,2900.00,SPXW230207P02900000,0.05,0,0,0.05,0,0,0,0,309
Tue Feb 07 2023,SPXW230207C03000000,901.06,0,1156.3,1180.3,0,0,0,0,2,3000.00,SPXW230207P03000000,0.05,0,0,0.05,0,0,0,0,77
Tue Feb 07 2023,SPXW230207C03050000,0,0,1106.3,1130.3,0,0,0,0,0,3050.00,SPXW230207P03050000,0.05,0,0,0.05,0,0,0,0,107
Tue Feb 07 2023,SPXW230207C03100000,0,0,1056.3,1080.2,0,0,0,0,0,3100.00,SPXW230207P03100000,0.05,0,0,0.05,0,0,0,0,247
Tue Feb 07 2023,SPXW230207C03150000,0,0,1006.3,1030.3,0,0,0,0,0,3150.00,SPXW230207P03150000,0.1,0,0,0.05,0,0,0,0,397
Tue Feb 07 2023,SPXW230207C03200000,942.7,32.85,956.3,980.3,5,0,0,0,12,3200.00,SPXW230207P03200000,0.05,0,0,0.05,0,0,0,0,326
Tue Feb 07 2023,SPXW230207C03250000,857.1,0,906.3,930.2,0,0,0,0,7,3250.00,SPXW230207P03250000,0.15,0,0,0.05,0,0,0,0,33
Tue Feb 07 2023,SPXW230207C03300000,821.75,0,856.3,880.3,0,0,0,0,119,3300.00,SPXW230207P03300000,0.05,0,0,0.05,0,0,0,0,1065
Tue Feb 07 2023,SPXW230207C03350000,756.35,0,806.3,830.3,0,0,0,0,3,3350.00,SPXW230207P03350000,0.05,0.025,0,0.05,1,0,0,0,10207
Tue Feb 07 2023,SPXW230207C03400000,656.2,0,756.3,780.2,0,0,0,0,56,3400.00,SPXW230207P03400000,0.05,0,0,0.05,0,0,0,0,7100
Tue Feb 07 2023,SPXW230207C03450000,571.15,0,706.3,730.3,0,0,0,0,78,3450.00,SPXW230207P03450000,0.05,0,0,0.05,0,0,0,0,192
